id,PeoplePerArea,LightingPerArea,EquipmentLoadPerArea,OperationalCarbon
0,8,6,10,108.29343
1,6,9,5,91.64994
2,1,4,5,54.97713
3,9,7,10,112.65078
4,1,9,3,61.71981
5,3,10,6,77.38557
6,7,5,9,99.46833
7,2,4,7,61.824
8,5,5,9,85.0701
9,3,2,5,58.1187
10,8,10,10,119.95719
11,1,5,8,64.35078
12,9,10,6,109.05726
13,7,2,7,84.51396
14,4,4,2,62.47605
15,9,1,1,65.98815
16,3,2,2,52.7091
17,3,7,1,60.09003
18,6,7,10,98.57892
19,6,2,3,71.82003
20,1,8,6,66.64779
21,10,7,6,99.74985
22,4,5,9,78.48957
23,1,2,9,59.72709
24,4,3,10,76.50375
25,2,6,10,73.84311
26,7,7,7,99.23856
27,1,3,2,46.74405
28,4,8,5,76.2588
29,6,10,8,100.55025
30,5,6,6,80.68308
31,7,6,6,94.01388
32,8,7,3,88.47111
33,10,8,4,96.41508
34,5,4,10,85.19568
35,9,6,4,89.19768
36,6,3,9,88.10817
37,7,1,2,67.27017
38,9,1,1,65.98815
39,10,8,3,93.16173
40,10,10,8,116.94879
41,6,4,8,87.975
42,3,3,10,70.65669
43,10,9,4,99.72018
44,6,1,6,77.57049
45,4,6,10,82.9725
46,7,4,8,94.03665
47,9,5,2,79.98618
48,6,4,5,81.94992
49,5,8,7,87.04074
50,10,1,2,69.11592
51,8,7,8,104.84826
52,2,1,2,45.76563
53,3,8,7,75.14031
54,5,3,10,83.15811
55,2,2,3,49.32258
56,2,2,9,61.74258
57,9,7,2,86.09268
58,9,8,5,98.94186
59,7,5,8,97.30449
60,8,3,3,76.28847
61,7,5,7,94.02906
62,7,10,3,96.80769
63,7,8,7,101.28372
64,1,3,3,48.69261
65,7,6,2,81.53523
66,9,3,2,74.09496
67,10,9,1,89.9829
68,8,5,2,79.26789
69,1,8,3,59.40072
70,3,2,8,64.18794
71,8,6,10,108.29343
72,8,4,9,98.19321
73,7,2,10,94.06632
74,5,6,10,89.43435
75,6,5,3,79.94961
76,8,5,6,91.63545
77,1,6,6,61.84608
78,4,7,7,78.42264
79,8,8,5,98.13456
80,7,7,1,81.58698
81,3,2,7,62.09793
82,4,7,8,80.68308
83,2,2,2,47.51478
84,8,6,2,82.29078
85,9,10,4,102.26145
86,4,2,10,74.46549
87,7,3,4,78.45231
88,4,8,6,78.44541
89,8,7,8,104.84826
90,4,2,7,68.26308
91,5,8,3,78.48198
92,5,5,2,70.99065
93,6,9,4,89.53854
94,7,7,7,99.23856
95,4,5,5,69.97497
96,6,1,7,80.37189
97,6,8,7,93.94764
98,1,1,8,54.99921
99,3,1,6,58.18563
