Temperature (degC),Humidity (%),Wind Speed (m/s),Wind Direction (deg),Pressure (hPa),PeoplePerArea(p/m2),LightingPowerIntensity(W/m2),EquipmentPowerIntensity(W/m2),ACH,Carbon Emissions (lb-co2/h)
14.1,82,4.63,180,1002,0.019331142,1.159868548,0.318577228,0.765,
14.1,82,4.63,180,1002,0.042528513,2.319737096,0.341774599,1.088084746,
14.21,82,4.63,180,1002,0.046394742,2.319737096,0.345640827,1.141932203,
14.21,82,4.63,180,1002,0.046394742,2.319737096,0.345640827,1.141932203,
14.21,82,4.63,180,1002,0.042528513,2.319737096,0.341774599,1.088084746,
14.21,82,4.63,180,1002,0.034796056,1.159868548,0.334042142,0.980389831,
14.21,82,4.63,180,1002,0.019331142,1.159868548,0.318577228,0.765,
14.21,82,4.63,180,1002,0.0,0.0,0.299246085,0.495762712,
14.21,82,4.63,180,1002,0.0,0.0,0.299246085,0.495762712,
14.21,82,4.63,180,1002,0.015464914,1.159868548,0.314710999,0.711152542,
14.21,82,4.63,180,1002,0.011598685,1.159868548,0.310844771,0.657305085,
14.21,82,4.63,180,1002,0.019331142,1.159868548,0.318577228,0.765,
14.21,82,4.63,180,1002,0.038662285,1.159868548,0.33790837,1.034237288,
14.21,82,4.63,180,1002,0.046394742,2.319737096,0.345640827,1.141932203,
13.73,82,3.09,270,1003,0.042528513,2.319737096,0.341774599,1.088084746,
13.73,82,3.09,270,1003,0.034796056,1.159868548,0.334042142,0.980389831,
13.73,82,3.09,270,1003,0.019331142,1.159868548,0.318577228,0.765,
13.73,82,3.09,270,1003,0.0,0.0,0.299246085,0.495762712,
13.73,82,3.09,270,1003,0.0,0.0,0.299246085,0.495762712,
13.73,82,3.09,270,1003,0.015464914,1.159868548,0.314710999,0.711152542,
13.73,82,3.09,270,1003,0.011598685,1.159868548,0.310844771,0.657305085,
13.73,82,3.09,270,1003,0.019331142,1.159868548,0.318577228,0.765,
13.73,82,3.09,270,1003,0.038662285,1.159868548,0.33790837,1.034237288,
13.73,82,3.09,270,1003,0.046394742,2.319737096,0.345640827,1.141932203,
13.73,82,3.09,270,1003,0.042528513,2.319737096,0.341774599,1.088084746,
13.23,82,3.09,270,1003,0.034796056,1.159868548,0.334042142,0.980389831,
13.73,82,3.09,270,1003,0.019331142,1.159868548,0.318577228,0.765,
13.23,82,3.09,270,1003,0.0,0.0,0.299246085,0.495762712,
13.23,82,3.09,270,1003,0.0,0.0,0.299246085,0.495762712,
13.03,82,3.09,270,1003,0.015464914,1.159868548,0.314710999,0.711152542,
13.23,82,3.09,270,1003,0.011598685,1.159868548,0.310844771,0.657305085,
13.03,82,3.09,270,1003,0.019331142,1.159868548,0.318577228,0.765,
13.23,82,3.09,270,1003,0.038662285,1.159868548,0.33790837,1.034237288,
13.23,82,3.09,270,1003,0.046394742,2.319737096,0.345640827,1.141932203,
13.03,82,3.09,270,1003,0.042528513,2.319737096,0.341774599,1.088084746,
13.23,82,3.09,270,1003,0.034796056,1.159868548,0.334042142,0.980389831,
13.03,82,3.09,270,1003,0.019331142,1.159868548,0.318577228,0.765,1.9189974175885771
